german,english,hungarian,type,⍨,,
"s gedeihen, gediehen, gediehen","to thrive, to flourish, to prosper","tenyészni; növekedni, virágozni (átvitt)",verb,2014-10-12,,
"h gefallen, gefielen, gefallen, gefällst, gefällt",to be liked,tetszeni,verb,2014-05-01,,
s gehen + um,to say sthg about sthg,szólni valamiről,verb,2014-06-06,,
"s gehen, gingen, gegangen",to go,menni,verb,2014-05-01,,
"s gelingen, gelangen, gelungen", to succeed,sikerülni,verb,2014-05-09,,
"h gelten, galten, gegolten, giltst, gilt + als","to apply, to pertain",vminek számítani; számítani (érvényesnek lenni),verb,2014-09-10,,
h genehmigen,"to permit, to sanction, to approve",engedélyezni,verb,2014-05-01,,
s genervt sein,to be nervious; to be angry,idegesnek lenni; bosszúsnak lenni,verb,2014-05-29,,
"s genesen, genasen, genesen",to recover; to recuperate,"felépülni (egészségileg), felgyógyulni",verb,2014-10-12,,
"h genießen, genossen, genossen","to enjoy; to have (some food or beverage), to eat, to drink",élvezni,verb,2014-05-29,,
"h gewinnen, gewannen, gewonnen",to win,nyerni,verb,2014-05-10,,
h gewöhnen + sich (A),to get used to,megszokni,verb,2014-05-01,,
h gewöhnen + sich (A) + an (A),to get used to sth,megszokni vmit,verb,2014-05-01,,
h gewöhnen + sich (A) + an (D),to get used to sth,hozzászokni vmihez,verb,2014-10-18,,
"h gießen, gossen, gegossen, gießt, gießt","to water, to pour","öntözni, önteni",verb,2014-05-01,,
h glänzen,"to shine, to sparkle",fényleni; kiemelkedni,verb,2014-05-01,,
h glauben + an (A),to believe in sb,hinni vkiben/vmiben,verb,2014-05-10,,
h glauben + (D),to believe,hinni vkinek; hinni vmiben,verb,2014-05-10,,
s gleicher Meinung sein,"to agree in sth, to have the same opinion on sth","egyetérteni vmiben, egy véleményen lenni",verb,2014-10-11,,
"s gleiten, glitten, geglitten"," to glide; to float; to slide, to slip","suhanni; csúszni, csusszanni",verb,2014-10-12,,
"h glimmen, glommen, geglommen",to smoulder,parázslani,verb,2014-10-12,,
"h graben, gruben, gegraben, gräbst, gräbt",to dig,ásni,verb,2014-05-01,,
"h greifen, griffen, gegriffen",to grab; to grasp; to grip,"fogni, megfogni, megragadni",verb,2014-10-12,,
"h halten, hielten, gehalten, hältst, hält","to hold; to stop, to halt, to hold back; to support, to hold up",tartani vmit; megállítani vmit; segíteni vmit,verb,2014-05-07,,
"h halten, hielten, gehalten, hältst, hält + (A) + für (A)","to consider, to regard (sb to be sth)",vmit vminek tartani,verb,2014-05-11,,
"h halten, hielten, gehalten, hältst, hält + sich (A) + an (D)",to adhere to sthg,tartani magát vmihez,verb,2014-05-11,,
"h hauen, hieben/hauten, gehauen/gehaut","to spank, to beat, to hit (colloquial)","elverni, elfenekelni (informális)",verb,2014-10-12,,
"h heben, hoben, gehoben",to lift; to raise,emelni,verb,2014-10-12,,
"h heben, hoben, gehoben + sich (A)",to lift; to raise,emelkedni,verb,2014-10-12,,
"h heißen, hießen, geheißen","to be called, to be named; to call (sb sth); to mean; to be said",nevezve lenni; hívni (vkit vhogy); jelenteni (értelmezés); mondva lenni (azt mondják...),verb,2014-10-12,,
"h helfen, halfen, geholfen, hilfst, hilft",to help,segíteni,verb,2014-10-12,,
"s heranfahren, heranfuhren, herangefahren, heranfährst, heranfährt",to pull over,lehúzódni; ráhúzódni (autóval),verb,2014-05-29,,
"s heranwachsen, heranwuchsen, herangewachsen, heranwächst, heranwächt",to grow up,felnőni,verb,2014-08-20,,
"h heraufbringen, heraufbrachten, heraufgebracht",to bring up sth,felvinni (hova nélkül),verb,2014-05-05,,
"h herausbringen, herausbrachten, herausgebracht","to bring out, to release","kivinni, kihozni",verb,2014-05-07,,
h herausholen,"to get sth out, to retrieve, to withdraw",kivenni,verb,2014-05-07,,
"h herausnehmen, herausnahmen, herausgenommen, herausnimmst, herausnimmt",to take out,kivenni,verb,2014-05-07,,
"h herbringen, herbrachten, hergebracht",to bring here,idehozni,verb,2014-05-07,,
"h hereinbringen, hereinbrachten, hereingebracht",to bring in,bevinni (fizikai),verb,2014-05-07,,
"s herkommen, herkamen, hergekommen",to come here,idejönni,verb,2014-05-07,,
"h hersehen, hersahen, hergesehen, hersiehst, hersieht",to look here,idenéz,verb,2014-05-07,,
h herüberholen,"to fetch, to fetch sb over",áthozni (fizikálisan),verb,2014-05-07,,
"h herübernehmen, herübernahmen, herübernommen, herübernimmst, herübernimmt",to carry sth. over; to take over,átadni vmi fölött,verb,2014-05-07,,
"h herumbringen, herumbrachten, herumgebracht",to bring sb. round,körbevinni (mindenkihez),verb,2014-05-07,,
h herumhocken,to sit around; to sit idle,ücsörögni; lógni (vhol),verb,2014-08-01,,
"s herumkommen, herumkamen, herumgekommen",to get around,elkerülni (elvont v. fizikális),verb,2014-05-07,,
h herumsitzen,to sit around; to sit idle,ücsörögni,verb,2014-08-01,,
h herumspielen,"to toy with, to play about",játszadozni,verb,2014-05-05,,
"h herunterbringen, herunterbrachten, heruntergebracht",to bring down; to get sth. down (stairs),levinni,verb,2014-05-07,,
"h/s herunterfahren, , herunterfuhren, heruntergefahren, herunterfährst, herunterfährt","to shut down, to power off","lekapcsolni, lezárni (elektronikus eszközt)",verb,2014-10-06,,
"h herunterladen, herunterlud, heruntergeladen, herunterlädst, herunterlädt",to download,letölteni,verb,2014-05-01,,
"h herunternehmen, herunternahmen, heruntergenommen, herunternimmst, herunterzunimmt",to take down,levenni vmit (föntről),verb,2014-05-07,,
s hervorheben,"to highlight, to emphasize",kiemelni,verb,2014-10-11,,
"h hinaufbringen, hinaufbrachten, hinaufgebracht",to take upstairs,felvinni (hova nélkül),verb,2014-05-05,,
"h hinbekommen, hinbekämen, hinbekommen",to get sth. (about) right,sikeresen végrehajtani,verb,2014-08-20,,
"h hinbringen, hinbrachten, hingebracht",to take there,odavinni,verb,2014-05-07,,
"h hineinlesen, hineinlasen, hineingelesen",to read sth. into sth.; to read a short part,beleolvasni (átv. is); sorok között olvasni,verb,2014-05-18,,
"h hineinlesen, hineinlasen, hineingelesen, hineinliest, hineinliest",to read sth. into sth.,beleolvasni,verb,2014-05-18,,
"h hineintun, hineintun, hineintust, hineintut, hineintun, hineintut, hineintun, hineintaten, hineingetan",to put in,beletenni,verb,2014-10-08,,
"s hinfahren, hinfuhren, hingefahren, hinfährst, hinfährt",to travel there,elutazni oda,verb,2014-05-01,,
"s hinfallen, hinfielen, hingefallen, hinfällst, hinfällt",to fall,elesni,verb,2014-05-01,,
s hinhocken,to squat down,leguggolni,verb,2014-08-06,,
"h hinnehmen, hinnahmen, hingenommen, hinnimmst, hinnimmt",to accept,elfogadni,verb,2014-05-07,,
s hinreisen,to travel somewhere,elutazni valahova (ritka),verb,2014-05-01,,
h hinsehen,"to look sw; to have a look, to take a look",odanéz; megnéz,verb,2014-05-07,,
"h hinweisen, hinwiesen, hingewiesen, hinweist, hinweist","to indicate, to suggest",utalni vmire; felhívni vmire a figyelmet,verb,2014-10-13,,
"s hinzukommen, hinzukamen, hinzugekommen",to be added (to chat),bekapcsolódni (beszélgetésbe),verb,2014-06-04,,
"h hochbringen, hochbrachten, hochgebracht",to take upstairs,felvinni,verb,2014-05-07,,
"s hochgehen, hochgingen, hochgegangen",to go up,felmenni,verb,2014-05-01,,
s hocken,to squat; to hang out swhere (colloquial),guggolni; lógni valahol (informális),verb,2014-05-18,,
h interessieren + sich (A) + für (A),to be interested in sb/sth,érdeklődni vki/vmi iránt,verb,2014-10-11,,
s interessiert sein + an (D),to be interested in sb/sth,érdeklődni vki/vmi iránt,verb,2014-10-11,,
h irren,to be mistaken; to err,"hibázni, tévedni; tévedésben lenni",verb,2014-08-01,,
s jdm. recht sein,to be okay with sb.,"megfelelni, jónak lenni",verb,2014-10-18,,
"h kann, kannst, kann, können, könnt, können, konnten, gekonnt",to be able,"tudni, képesnek lenni",verb,2014-10-12,,
h kehren,to sweep,söpörni,verb,2014-05-01,,
"h kennen, kannten, gekannt",to know (sb/sth),tudni,verb,2014-10-12,,
h kennzeichnen,"to flag, to mark",megjelölni,verb,2014-06-04,,
h kichern,"to chuckle, to giggle",vihogni,verb,2014-10-01,,
"s klar|kommen, klarkamen, klargekommen",to get along; to clear,boldogulni vmivel; tisztázni,verb,2014-05-18,,
h klauen,to steal (colloquial),lopni (informális),verb,2014-05-01,,
h kleben,"to stick, to adhere, to glue",ragadni; ragasztani,verb,2014-07-06,,
"h klimmen, klommen, geklommen",to climb,mászni,verb,2014-10-12,,
"h klingen, klangen, geklungen",to sound; to clink,hallatszani,verb,2014-05-24,,
"h kneifen, kniffen, gekniffen",to pinch,"megcsípni, lapítni, beszorítani, belecsípni vmibe, összenyomni vmit két ujjal",verb,2014-10-12,,
h knüpfen,to tie,csomózni,verb,2014-05-11,,
"s kommen, kamen, bekommen","to come, to arrive",jönni; érkezni,verb,2014-10-12,,
"s kommen, kamen, gekommen",to come,jönni,verb,2014-05-01,,
h komprimieren,to compress,"összenyomni, sűríteni",verb,2014-10-06,,
h krachen,to crash,csattanni,verb,2014-05-15,,
h kratzen,to scratch,vakarni,verb,2014-08-11,,
"s kriechen, krochen, gekrochen","to creep, to crawl","kúszni, csúszni, kibújni",verb,2014-10-12,,
h kriegen,"to get, to catch",megkapni,verb,2014-09-01,,
h kümmern + sich (A) + um (A),"to take care, to look after",gondoskodni,verb,2014-08-31,,
h kündigen,to terminate,kirúgni; kilépni; felmondani,verb,2014-05-01,,
"h laden, luden, geladen, lädst, lädt",to load,tölteni,verb,2014-10-12,,
"h lassen, ließen, gelassen, lässt/läßt, lässt/läßt","to allow, to permit, to let; to have sb do sth",megengedni; csináltatni vkivel vmit,verb,2014-10-12,,
"s laufen, liefen, gelaufen, läufst, läuft",to walk,gyalogolni,verb,2014-10-12,,
h lehnen,to lean,dőlni,verb,2014-05-01,,
h lehren,to teach,tanítani,verb,2014-05-01,,
"h leiden, litten, gelitten","to bear, to endure; to suffer, to feel pain","kibírni, elviselni; szenvedni, fájdalmat érezni",verb,2014-10-12,,
h leisten,to achieve,teljesíteni,verb,2014-05-10,,
h leisten + sich (D),to allow sthg oneself,"megengedni magának (anyagilag, erkölcsileg?)",verb,2014-05-29,,
"h lesen, lasen, gelesen, liest, liest",to read,olvasni,verb,2014-10-12,,
"h liegen, lagen, gelegen",to lie,"állni, lenni valahol",verb,2014-05-01,,
h locken,"to lure, to entice",csalogatni,verb,2014-05-01,,
h lösen,"to solve; to loose, to loosen, to detach, to remove","megoldani, megfejteni; eloldani, kioldani, leválasztani",verb,2014-05-01,,
"s losgehen, losgingen, losgegangen",to leave; to go off,elindulni,verb,2014-05-07,,
"h losschreien, losschrien, losgeschrien",to start shouting,kiabálni kezdeni,verb,2014-05-07,,
"h lossprechen, lossprachen, losgesprochen, lossprichst, losspricht",to start talking,beszélni elkezdeni,verb,2014-05-07,,
"h lügen, logen, gelogen",to lie,hazudni,verb,2014-05-09,,
"h mag, magst, mag, mögen, mögt, mögen, mochten, gemocht",to like,szeretni (vmit),verb,2014-10-12,,
"h mahlen, mahlten, gemahlen",to grind,"darálni, őrölni",verb,2014-10-12,,
h malen,to paint (picture),festeni (képet),verb,2014-05-01,,
h markieren,to mark,megjelölni,verb,2014-05-08,,
"h meiden, mieden, gemieden",to avoid,elkerülni,verb,2014-10-12,,
h melden,to report,jelenteni,verb,2014-05-10,,
h melden (A) + (D),to report sth to sb,jelenteni vmit vkinek,verb,2014-05-10,,
h melden + sich (A),"to sign up, to sign in","jelentkezni, bejelentkezni",verb,2014-05-11,,
h melden + sich (A) + bei (D),to report sth to sb,jelentkezni (vkinél),verb,2014-05-10,,
"h melken, molken/melkten, gemolken/gemelkt, milkst/melkst, milkt/melkt",to milk,megfejni,verb,2014-10-12,,
h merken,"to notice, to realise",észrevenni,verb,2014-05-05,,
h merken + sich (D),"to memorize, to remember, to keep in mind",megjegyezni,verb,2014-05-05,,
h missachten,to ignore,nem figyelembevenni,verb,2014-05-07,,
h misstrauen,"to suspect, to distrust, to have doubts about",gyanakodni,verb,2014-05-01,,
"h missverstehen, missverstanden, missverstanden",to misunderstand,félreérteni,verb,2014-05-07,,
"h mitbringen, mitbrachten, mitgebracht",to bring along,magával hozni (oda-),verb,2014-05-07,,
"h mitentscheiden, mitentschieden, mitentschiden",to participate in decision making,együtt dönteni (veledönteni),verb,2014-05-07,,
h mitmachen,to participate; to take part; to join,részt venni,verb,2014-05-10,,
"h mitnehmen, mitnahmen, mitgenommen, mitnimmst, mitnimmt",to take along,magával vinni (el-),verb,2014-05-07,,
s müde sein + von (D),to be tired from sth,fáradtnak lenni vmitől,verb,2014-10-18,,
"h muss/muß, musst/mußt, muss/muß, müssen, müsst/müßt, müssen, mussten/mußten, gemusst/gemußt",to have to,muszájnak lenni,verb,2014-10-12,,
"h nachbringen, nachbrachten, nachgebracht","to take sth after sb, to bring afterwards",utánavinni,verb,2014-05-07,,
"h nachdenken, nachdachten, nachtgedacht + über (A)",to think through sth,utánagondolni vminek,verb,2014-05-07,,
"h nachdenken, nachdachten, nachtgedacht",to think through,utánagondolni,verb,2014-05-07,,
h nachfeiern,to celebrate later,"pótbulizni, pótünnepelni",verb,2014-05-07,,
h nachfragen,to demand; to inquire,érdeklődni; igényelni,verb,2014-05-07,,
h nachholen,to catch up on,bepótolni,verb,2014-05-07,,
"s nachkommen, nachkamen, nachgekommen","to comply (with), to meet, to satisfy; to keep up (with); to come later",utána menni,verb,2014-05-24,,
s nachlaufen,to run after sb; to chase after women,futni vki után (átv. is),verb,2014-05-07,,
h nachrechnen,to check one's calculation; to recalculate,"utánaszámolni, újraszámolni",verb,2014-05-07,,
h nachvollziehen,to understand,érteni,verb,2014-05-07,,
h nagen,"to gnaw, to nibble",rágcsálni,verb,2014-08-06,,
"h nehmen, nahmen, genommen, nimmst, nimmt",to take,"venni, elvenni",verb,2014-10-12,,
"h nennen, nannten, genannt",to name,megnevezni; nevezni (vkit),verb,2014-05-01,,
h nerven + sich (A),to annoy sb,"idegesít, bosszant engem",verb,2014-05-29,,
s nervös sein,to be nervious,"idegesnek, nyugtalannak lenni",verb,2014-05-29,,
s nett sein + zu (D),to be nice to sb,kedvesnek lenni vkivel,verb,2014-10-18,,
h niesen,to sneeze,tüsszenteni,verb,2014-08-20,,
h öffnen,to open (active),kinyitni,verb,2014-05-10,,
h öffnen + sich (A),to open (passive),kinyílni (tárgy),verb,2014-05-18,,
"h Pause halten, Pause hielten, Pause gehalten, Pause hältst, Pause hält",to have a break,szünetet tartani,verb,2014-08-20,,
h Pause machen,to have a break,szünetet tartani,verb,2014-08-20,,
"h pfeifen, pfiffen, gepfiffen",to whistle,fütyülni,verb,2014-05-01,,
h pflegen,to nurse,ápolni,verb,2014-08-02,,
h präsentieren,to present,prezentálni,verb,2014-05-10,,
"h preisen, priesen, gepriesen","to hail, laud, praise","dicsőíteni, dicsérni, magasztalni",verb,2014-10-12,,
"h probieren, probierten, probiert",to try; to taste; to sample,kipróbálni; megkísérel,verb,2014-10-08,,
"h raten, rieten, geraten, rätst, rät","to advise, to recommend",ajánlani ,verb,2014-10-12,,
"h rausbringen, rausbrachten, rausgebracht",to take out (colloquial),"kivinni (szemetet, informális)",verb,2014-10-08,,
"s rausgehen, rausgingen, rausgegangen",to go out,kimenni,verb,2014-05-24,,
"h realisieren, realisierten, realisiert",to realize,megvalósítani,verb,2014-05-05,,
h rechnen,to count,számolni,verb,2014-05-01,,
h rechnen + mit (D),to expect something,számolni valamivel,verb,2014-05-01,,
h regeln,to regulate,szabályozni,verb,2014-05-01,,
h reichen,"to be enough, to be sufficient; to reach; to pass, to hand, to give",elégnek lenni; elérni; odanyújtani,verb,2014-05-10,,
"s reinkommen, reinkamen, reingekommen",to come in,bejönni (sorra kerülni),verb,2014-05-24,,
"h reinlesen, reinlasen, reingelesen, reinliest, reinliest",to read sth. into sth. (colloquial),beleolvasni (informális),verb,2014-05-18,,
"h reintun, , reintun, reintust, reintut, reintun, reintut, reintun, reintaten, reingetan",to put in (colloquial),beletenni (informális),verb,2014-10-08,,
"h reißen, rissen, gerissen","to rip, to tear","tépni, széttépni, szakítani, szétszakítani, szaggatni",verb,2014-10-12,,
"s reißen, rissen, gerissen","to rip, to tear",szakadni,verb,2014-10-12,,
"h/s reiten, ritten, geritten",to ride,lovagolni,verb,2014-05-01,,
"h rennen, rannten, gerannt",to run,"futni, szaladni",verb,2014-10-12,,
h retten,to save; to rescue,megmenteni,verb,2014-05-18,,
"h riechen, rochen, gerochen",to use the sense of smell. to detect a smell; to reek,"szagolni, szagot érezni, szagot megérezni; bűzleni",verb,2014-10-12,,
"h riechen, rochen, gerochen",to smell sth; to sniff sth,"szagolni vmit, beleszagolni vmibe",verb,2014-10-12,,
"h ringen, rangen, gerungen","to wrestle, to struggle","birkózni, küszködni, küzdeni",verb,2014-10-12,,
"s rinnen, rannen, geronnen",to flow; to leak,folyni; ereszteni,verb,2014-10-12,,
"h rüberbringen, rüberbrachten, rübergebracht",to put sth. across,átvinni (fizikálisan),verb,2014-05-07,,
h rüberholen,"to fetch, to fetch sb over",áthozni (fizikálisan),verb,2014-05-07,,
h rudern, to row,evezni,verb,2014-08-05,,
"h rufen, riefen, gerufen",to call,hívni (telefonon),verb,2014-10-12,,
"h rumbringen, rumbrachten, rumgebracht",to bring sb. round,körülvinni,verb,2014-05-07,,
"h rumkommen, rumkamen, rumgekommen",to get around,elkerülni (elvont v. fizikális),verb,2014-05-07,,
"h runterbringen, runterbrachten, runtergebracht",to bring down; to get sth. down (stairs),levinni,verb,2014-05-07,,
"h runternehmen, runternahmen, runtergenommen, runternimmst, runternimmt",to take down,levenni vmit (föntről),verb,2014-05-07,,
h rutschen,"to slide, to slip (accident)",elcsúszni,verb,2014-05-05,,
s rutschen,"to slide, to slip (sport)",csúszni (sport),verb,2014-05-05,,
h Satt haben,to be fed up,elegének lenni,verb,2014-06-10,,
s Satt sein,to be full,jóllakva lenni,verb,2014-06-10,,
s sauer sein + auf (A),to be angry at sb,dühösnek lenni vkire,verb,2014-10-11,,
"h saufen, soffen, gesoffen, säufst, säuft",to booze; to drink (animal),"piálni, inni (állat)",verb,2014-08-13,,
"h schaffen, schuffen/schafften, geschaffen/geschafft","to create, to produce, to establish; to be able",létrehozni; képesnek lenni,verb,2014-05-01,,
"h schätzen,  schätzte, geschätzt, schätzt, schätzt",to value (highly); to appreciate; to guess,értékelni (nagyra),verb,2014-08-24,,
"h scheiden, schieden, geschieden",to divorce (not used),elválni (magában nem használt),verb,2014-10-06,,
"h scheinen, schienen, geschienen","to appear, to seem",tűnni,verb,2014-10-12,,
"h scheißen, schissen, geschissen",to shit (vulgár),szarni (vulgáris),verb,2014-10-12,,
"h schelten, schalten, gescholten, schiltst, schilt",to scold,szidalmazni; lehordani,verb,2014-10-12,,
"h scheren, schoren/scherten, geschoren/geschert","to shear (sheep), to cut, to trim (hair)","nyirni, lenyírni",verb,2014-10-12,,
"h schieben, schoben, geschoben","to push, to shove","tolni, eltolni",verb,2014-05-01,,
"s schiefgehen, schiefgingen, schief gegangen",to go bad,félremenni,verb,2014-05-01,,
"h schießen, schossen, geschossen","to shoot, to fire (gun or camera); to score a goal; to shoot up (drugs, slang)","tüzelni (fegyverrel); fényképezni; gólt lőni; belőni (drogot, slang)",verb,2014-10-12,,
"h schlafen, schliefen, geschlafen, schläfst, schläft",to sleep,aludni,verb,2014-10-12,,
"h schlagen, schlugen, geschlagen, schlägst, schlägt","to beat, to hit, to knock, to strike, to punch, to hammer, to pound",ütni,verb,2014-05-07,,
s schlecht sein + für (A),to do wrong to sth,rosszat tenni vminek,verb,2014-10-18,,
"s schleichen, schlichen, geschlichen","to crawl. to advance slowly, to creep","lopózni, osonni; vánszorogni",verb,2014-10-12,,
"h schleifen, schliffen/schleiften, geschliffen/geschleift",to pull; to whet,"vonszolni, hurcolni, cipelni; megfenni",verb,2014-10-12,,
h schlendern,to stroll,sétálni,verb,2014-08-11,,
"h schmelzen, schmolzen, geschmolzen",to melt sth; to liquefy sth,"megolvasztani, olvasztani",verb,2014-10-13,,
"s schmelzen, schmolzen, geschmolzen",to melt; to liquefy,"megolvadni, olvadni",verb,2014-10-12,,
h schmuggeln,to smuggle,csempészni,verb,2014-05-01,,
"h schneiden, schnitten, geschnitten",to cut,vágni,verb,2014-10-12,,
"h schreiben, schrieben, geschrieben",to write,írni,verb,2014-10-12,,
"h schreien, schrieen, geschrieen",to cry; to weep,sírni; könnyezni,verb,2014-10-12,,
"s Schuldgefühl,~e","sense of guilt, guilty feeling",bűntudat,noun,2014-08-20,,
h schummeln,to cheat,csalni,verb,2014-05-01,,
h schwän­zen,"to cut (class, work, etc)",lógni,verb,2014-06-04,,
s schweben,"to hover, to float",lebegni,verb,2014-10-14,,
"h schweigen, schwiegen, geschwiegen","to be silent, to keep quiet; to stop talking, to shut up","csöndben maradni, elhallgatni (beszédet abbahagyni)",verb,2014-10-12,,
"s schwellen, schwollen/schwellten, geschwollen/geschwellt, schwillst/schwellst, schwillt/schwellt",to swell up; to bulge,bedagadni,verb,2014-10-12,,
"h schwimmen, schwammen, geschwommen",to swim,úszni,verb,2014-10-12,,
"s schwimmen, schwammen, geschwommen",to float,lebegni,verb,2014-10-12,,
"h schwingen, schwangen, geschwungen",to swing sth,lengetni vmit,verb,2014-10-12,,
"s schwingen, schwangen, geschwungen",to swing,"lengeni, inogni, billegni",verb,2014-10-12,,
"h schwören, schworen, geschworen",to swear,"esküdni, megesküdni, esküdözni",verb,2014-10-12,,
h Segel setzen,to set sail,kihajózni,verb,2014-10-14,,
h segnen,to bless,megáldani,verb,2014-10-14,,
"h sehen, sahen, gesehen, siehst, sieht",to see,látni,verb,2014-05-01,,
"h senden, sandten/sendeten, gesandt/gesendet","to send, to forward; to transmit, to broadcast",küldeni; továbbítani,verb,2014-10-12,,
h setzen,to set; to put,rakni,verb,2014-10-08,,
h setzen + sich (A),to sit down,leülni,verb,2014-10-08,,
h sich scheiden lassen,"to get divorced, to divorce",elválni,verb,2014-10-06,,
"h sieden, sotten/siedeten, gesotten/gesiedet","to boil; to simmer, seethe",forrni; bugyogni,verb,2014-10-12,,
h siegen,to win,győzni,verb,2014-05-01,,
h siezen,to use the formal form of address,magázni,verb,2014-07-06,,
"h singen, sangen, gesungen",to sing,énekelni,verb,2014-10-12,,
"s sinken, sanken, gesunken",to sink,"süllyedni, lesüllyedni",verb,2014-10-12,,
"h sinnen, sannen, gesonnen","to think, to ponder, to cogitate (elevated)",gondolkozni (emelkedett),verb,2014-10-12,,
"h sitzen, saßen, gesessen","to sit; to stay (in one place), to remain; to be (in a particular place or state); to do time, to spend time in jail (colloquial)","ülni; egyhelyben lenni, maradni; börtönben ülni (informális)",verb,2014-10-12,,
h sorgen + für (A),"to look after sth, to take care of sth, to provide",gondoskodni vmiről,verb,2014-05-10,,
h sorgen + sich (A) + um,to worry about sb.,aggódni vki miatt,verb,2014-05-10,,
h Sorgen machen + sich (A) + um,to worry about sb.,aggódni vki miatt,verb,2014-05-10,,
h Sorgen machen + sich (A) + über,to worry about sth.,aggódni vmi miatt,verb,2014-05-10,,
h sortieren,to sort; to range; to classify,szortírozni,verb,2014-10-08,,
h speichern,to save,"menteni, elmenteni",verb,2014-10-10,,
"h speien, spien, gespien",to spit,köpni,verb,2014-10-12,,
"h spleißen, splissen, gesplissen",to split,szétválasztani,verb,2014-10-12,,
h sport machen,to sport,sportolni,verb,2014-05-01,,
"h/s sport treiben, sport trieben, sport getrieben",to sport,sportolni,verb,2014-05-01,,
"h sprechen, sprachen, gesprochen, sprichst, spricht",to speak,beszélni,verb,2014-10-12,,
"s sprießen, sprossen, gesprossen",to sprout,"csírázni, sarjadni",verb,2014-10-12,,
"s springen, sprangen, gesprungen",to jump,ugrani; szökkenni,verb,2014-05-10,,
h spüren,to feel,"érezni, érzékelni",verb,2014-08-20,,
s stammen,"to descend, to originate, to be derived",származni,verb,2014-08-31,,
"h stattfinden, stattfanden, stattgefunden","to take place, to happen",megrendezésre kerülni; helyet kap,verb,2014-05-09,,
"h stechen, stachen, gestochen, stichst, sticht",to stick,"szúrni, átszúrni",verb,2014-08-20,,
"h stehlen, stahlen, gestohlen, stiehlst, stiehlt",to steal,lopni,verb,2014-10-12,,
"s steigen, stiegen, gestiegen","to ascend, to climb; to rise",mászni; lovagolni,verb,2014-05-01,,
"s sterben, starben, gestorben, stirbst, stirbt",to die,meghalni,verb,2014-05-09,,
s stiefeln,to march,menetelni,verb,2014-05-24,,
s stolpern,"to stumble, to trip",megbotlani,verb,2014-08-11,,
"h stoßen, stießen, gestoßen, stößt, stößt","to thrust, to bump","lökni, döfni",verb,2014-10-12,,
h strecken + sich (A),to stretch,nyújtozkodni,verb,2014-10-18,,
"h streichen, strichen, gestrichen",to paint (wall),festeni (falat),verb,2014-05-01,,
"h streiten, stritten, gestritten",to argue,veszekedni,verb,2014-05-01,,
"h streiten, stritten, gestritten",to argue,veszekedni,verb,2014-05-01,,
h stricken,to knit,kötni,verb,2014-10-18,,
"h strinken, stranken, gestrunken",to knit,kötni,verb,2014-10-12,,
h stützen,"to support; to rest, to lean",védeni,verb,2014-06-06,,
h tauschen,"to trade; to exchange, to swap",cserélni; kicserélni,verb,2014-07-30,,
"h teilnehmen, teilnahmen, teilgenommen, teilnimmst, teilnimmt",to participate,részt venni,verb,2014-05-11,,
h telefonieren,to call; to make calls,telefonálni,verb,2014-05-10,,
"h tragen, trugen, getragen",to carry sth,cipelni vmit,verb,2014-10-12,,
h trauen,to trust,"bízni, megbízni",verb,2014-08-24,,
"h treffen, trafen, getroffen, triffst, trifft + sich (A)",to meet,találkozni,verb,2014-10-08,,
"h treiben, trieben, getrieben",to drift; to float,"sodródni; úszni, lebegni",verb,2014-10-12,,
"s treiben, trieben, getrieben",to drive (eg. livestock); to urge,terelni; sürgetni,verb,2014-10-12,,
h trennen + sich (A) + von (D),"to separate, to disunite",szakítani vkivel,verb,2014-06-09,,
"h trinken, tranken, getrunken",to drink,inni,verb,2014-10-12,,
"h trügen, trogen, getrogen",to be deceptive,megtévesztőnek lenni,verb,2014-10-12,,
"h trügen, trogen, getrogen",to deceive sb,megtéveszteni vkit,verb,2014-10-12,,
"h tue, tust, tut, tun, tut, tun, taten, getan",to do,"tenni, csinálni",verb,2014-05-01,,
h tuscheln,to whisper,suttogni,verb,2014-08-02,,
s typisch sein + für (A),to be typical of sb,tipikus vkitől,verb,2014-10-18,,
h üben,to practice,gyakorolni,verb,2014-05-01,,
"h über|geben, übergaben, übergeben",to vomit,hányni,verb,2014-05-01,,
"h überbringen, überbrächten, überbracht",to deliver,átadni (üzenetet),verb,2014-05-07,,
s überfliegen,"to skim (read quickly, skipping some detail)",elrepülni vmi fölött,verb,2014-05-07,,
h überholen,to overtake,megelőzni,verb,2014-05-01,,
h überhören,to miss hearing sth.; to not hear sth.,"elhallani, átsiklani vmi fölött (beszédben)",verb,2014-05-07,,
"h überlassen, überließen, überlassen, überlässt, überlässt",to bequeath,átruházni; ráhagyni vmit (tárgyat),verb,2014-05-01,,
s überlaufen,to overflow; to defect,kifutni (pl. tej),verb,2014-05-07,,
h überlegen,"to consider, to think, to reason",átgondolni,verb,2014-05-18,,
h überlesen,to read over; to ignore,"félreolvasni, átsiklani vmi fölött (olvasásban)",verb,2014-05-07,,
"h übernehmen, übernahmen, übernommen, übernimmst, übernimmt",to adopt; to take over,átvenni; átvállalni,verb,2014-05-01,,
h überprüfen,to check,leellenőrizni; átvizsgálni,verb,2014-05-07,,
h überqueren,"to cross, to traverse","áthaladni, átmenni",verb,2014-05-29,,
"h übersehen, übersah, übergesehen, übersiehst, übersieht",to overlook,"elnézni, benézni, nem észrevenni",verb,2014-05-01,,
h Überstunde leisten,to do overtime,túlórázni,verb,2014-08-20,,
